,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
163,"thank u, next","Ariana Grande",5342754,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
164,"Girls Like You (feat. Cardi B)","Maroon 5",5319226,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
165,goosebumps,"Travis Scott",5311204,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
166,"Futsal Shuffle 2020","Lil Uzi Vert",5302368,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
167,"Can We Kiss Forever?",Kina,5277324,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
168,Starboy,"The Weeknd",5240604,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB
169,"Higher Love",Kygo,5201553,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
170,"All of Me","John Legend",5161704,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
171,"Truth Hurts",Lizzo,5147825,https://open.spotify.com/track/3HWzoMvoF3TQfYg4UPszDq
172,"Perreo en La Luna","Rich Music LTD",5135469,https://open.spotify.com/track/0RDgqtvOHLwcI6yz9bjsZV
173,"Hate Me (with Juice WRLD)","Ellie Goulding",5130390,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
174,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,5118004,https://open.spotify.com/track/1v7L65Lzy0j0vdpRjJewt1
175,Moonlight,XXXTENTACION,5116109,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
176,"Better Now","Post Malone",5083752,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
177,"All I Want - From ""High School Musical: The Musical: The Series""","Olivia Rodrigo",5082201,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW
178,"all the good girls go to hell","Billie Eilish",5074485,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx
179,"You Need To Calm Down","Taylor Swift",5060482,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
180,SENTADÃO,"Pedro Sampaio",5013019,https://open.spotify.com/track/4lKuzrdZrJuCAedbIslF3A
181,I.F.L.Y.,Bazzi,5001556,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
182,"Lottery (Renegade)","K CAMP",4994448,https://open.spotify.com/track/4dZTZbmJBCCofAExHwefda
183,"Si Te Vas",Sech,4954292,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
184,"Que Calor (with J Balvin & El Alfa)","Major Lazer",4950254,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3
185,Takeaway,"The Chainsmokers",4950209,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw
186,"Rich Rich",Ufo361,4938864,https://open.spotify.com/track/3VFT90E0yYjdHSFoGv02us
187,Youngblood,"5 Seconds of Summer",4936493,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
188,"If I Can't Have You","Shawn Mendes",4921021,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
